ID,Age (in years),Experience (in years),Income (in K/year),Income Categorical,ZIP Code,Family members,Education,Employment,Mortgage,Personal Loan,Securities Account,TD Account,Online,CreditCard,Net Worth (in K$),Investment Portfolio (in K$),Risk Tolerance,Financial Goals,Wealth Management Service Level
17,38,14,130,High,95010,4,Professional,Self-Employed,134,Yes,No,No,No,No,1043,0,Conservative,Retirement,Private
18,42,18,81,Medium,94305,4,Undergraduate,Working Professional,0,No,No,No,No,No,883,0,Moderate,Estate Planning,Premium
19,46,21,193,High,91604,2,Professional,Self-Employed,0,Yes,No,No,No,No,1432,0,Moderate,Estate Planning,Private
20,55,28,21,Low,94720,1,Graduate,Working Professional,0,No,Yes,No,No,Yes,228,131,Moderate,Estate Planning,Basic
21,56,31,25,Low,94015,,Graduate,Working Professional,111,No,No,No,Yes,No,323,0,Moderate,Tax Optimization,Basic
22,57,27,63,Medium,90095,3,Professional,Self-Employed,0,No,No,No,Yes,No,628,0,Moderate,Tax Optimization,Premium
23,29,5,62,Medium,90277,1,Undergraduate,Working Professional,260,No,No,No,Yes,No,734,0,Conservative,Education Funding,Premium
24,44,18,43,Low,91320,2,Undergraduate,Working Professional,163,No,Yes,No,No,No,867,396,Moderate,Education Funding,Premium
25,36,11,152,High,95521,2,Undergraduate,Working Professional,159,No,No,No,No,Yes,1273,0,Conservative,Retirement,Private
26,43,19,29,Low,94305,3,Undergraduate,Working Professional,97,No,No,No,Yes,No,646,0,Moderate,Tax Optimization,Premium
27,40,16,83,Medium,95064,4,Professional,Self-Employed,0,No,No,No,No,No,705,0,Moderate,Estate Planning,Premium
28,46,20,158,High,90064,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,1264,0,Moderate,Estate Planning,Private
29,56,30,48,Low,94539,1,Professional,Self-Employed,0,No,No,No,Yes,Yes,531,0,Moderate,Retirement,Premium
30,38,13,119,High,94104,1,Graduate,Working Professional,0,Yes,No,Yes,Yes,Yes,859,288,Aggressive,Education Funding,Premium
31,59,35,35,Low,93106,1,Professional,Self-Employed,122,No,No,No,Yes,No,453,0,Moderate,Wealth Growth,Basic
32,40,16,29,Low,94117,1,Graduate,Working Professional,0,No,No,No,Yes,No,368,0,Moderate,Retirement,Basic
33,53,28,41,Low,94801,2,Professional,Self-Employed,193,No,No,No,No,No,479,0,Moderate,Education Funding,Basic
34,30,6,18,Low,91330,3,Professional,Self-Employed,0,No,No,No,No,No,322,0,Conservative,Wealth Growth,Basic
35,31,5,50,Low,94035,4,Professional,Self-Employed,0,No,No,No,Yes,No,313,0,Conservative,Retirement,Basic
36,48,24,81,Medium,92647,3,Undergraduate,Working Professional,0,No,No,No,No,No,585,0,Moderate,Wealth Growth,Premium
37,59,35,121,High,94720,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,678,0,Moderate,Tax Optimization,Premium
38,51,25,71,Medium,95814,1,Professional,Self-Employed,198,No,No,No,No,No,839,0,Moderate,Tax Optimization,Premium
39,42,18,141,High,94114,3,Professional,Self-Employed,0,Yes,Yes,Yes,Yes,No,901,391,Moderate,Tax Optimization,Premium
40,38,13,80,Medium,94115,4,Professional,Self-Employed,285,No,No,No,Yes,No,1173,0,Conservative,Wealth Growth,Private
41,57,32,84,Medium,92672,3,Professional,Self-Employed,0,No,Yes,No,No,No,549,482,Moderate,Retirement,Premium
42,34,9,60,Medium,94122,3,Undergraduate,Working Professional,0,No,No,No,No,No,763,0,Conservative,Retirement,Premium
43,32,7,132,High,90019,4,Graduate,Working Professional,412,Yes,No,No,Yes,No,1455,0,Conservative,Estate Planning,Private
44,39,15,45,Low,95616,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,318,0,Conservative,Education Funding,Basic
45,46,20,104,High,94065,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,971,0,Moderate,Education Funding,Premium
46,57,31,52,Medium,94720,4,Undergraduate,Working Professional,0,No,No,No,No,Yes,633,0,Moderate,Estate Planning,Premium
47,39,14,43,Low,95014,3,Graduate,Working Professional,153,No,No,No,Yes,No,828,0,Conservative,Estate Planning,Premium
48,37,12,194,High,91380,4,Professional,Self-Employed,211,Yes,Yes,Yes,Yes,Yes,1620,787,Aggressive,Education Funding,Private
49,56,26,81,Medium,95747,2,Professional,Self-Employed,0,No,No,No,No,Yes,475,0,Moderate,Wealth Growth,Basic
50,40,16,49,Low,92373,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,741,0,Moderate,Wealth Growth,Premium
51,32,8,8,Low,92093,4,Graduate,Working Professional,0,No,Yes,No,Yes,No,132,281,Aggressive,Tax Optimization,Basic
52,61,37,131,High,94720,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,707,0,Conservative,Retirement,Premium
53,30,6,72,Medium,94005,1,Undergraduate,Working Professional,207,No,No,No,No,No,1011,0,Conservative,Wealth Growth,Private
54,50,26,190,High,90245,3,Professional,Self-Employed,240,Yes,No,No,Yes,No,1506,0,Moderate,Wealth Growth,Private
55,29,5,44,Low,95819,1,Professional,Self-Employed,0,No,No,No,Yes,No,374,0,Conservative,Tax Optimization,Basic
56,41,17,139,High,94022,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,1065,0,Moderate,Wealth Growth,Private
57,55,30,29,Low,94005,3,Graduate,Working Professional,0,No,Yes,Yes,Yes,No,402,355,Moderate,Retirement,Basic
58,56,31,131,High,95616,2,Professional,Self-Employed,0,Yes,No,No,No,No,754,0,Moderate,Wealth Growth,Premium
59,28,2,93,Medium,94065,,Undergraduate,Working Professional,0,No,No,No,No,No,746,0,Conservative,Education Funding,Premium
60,31,5,188,High,91320,2,Undergraduate,Working Professional,455,No,No,No,No,No,1446,0,Conservative,Estate Planning,Private
61,49,24,39,Low,90404,3,Graduate,Working Professional,0,No,Yes,No,Yes,No,571,163,Moderate,Education Funding,Premium
62,47,21,125,High,93407,1,Undergraduate,Working Professional,112,No,Yes,No,No,No,872,257,Moderate,Education Funding,Premium
63,42,18,22,Low,90089,1,Undergraduate,Working Professional,0,No,No,No,No,No,437,0,Moderate,Retirement,Basic
64,42,17,32,Low,94523,4,Graduate,Working Professional,0,No,No,No,Yes,No,410,0,Moderate,Education Funding,Basic
65,47,23,105,High,90024,2,Undergraduate,Working Professional,0,No,No,No,No,No,710,0,Moderate,Education Funding,Premium
66,59,35,131,High,91360,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,780,0,Moderate,Education Funding,Premium
67,62,36,105,High,95670,2,Undergraduate,Working Professional,336,No,No,No,No,No,1275,0,Conservative,Retirement,Private
68,53,23,45,Low,95123,4,Professional,Self-Employed,132,No,Yes,No,No,No,500,400,Moderate,Tax Optimization,Basic
69,47,21,60,Medium,93407,3,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,443,0,Moderate,Retirement,Basic
70,53,29,20,Low,90045,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,558,0,Moderate,Tax Optimization,Premium
71,42,18,115,High,91335,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,743,0,Moderate,Estate Planning,Premium
72,53,29,69,Medium,93907,4,Graduate,Working Professional,0,No,No,No,Yes,No,787,0,Moderate,Retirement,Premium
73,44,20,130,High,92007,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,879,0,Moderate,Wealth Growth,Premium
74,41,16,85,Medium,94606,1,Professional,Self-Employed,0,No,No,No,Yes,Yes,545,0,Moderate,Education Funding,Premium
75,28,3,135,High,94611,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,963,0,Conservative,Education Funding,Premium
76,31,7,135,High,94901,4,Graduate,Working Professional,0,Yes,No,Yes,Yes,Yes,1120,75,Conservative,Wealth Growth,Private
77,58,32,12,Low,91320,3,Professional,Self-Employed,0,No,No,No,No,No,307,0,Moderate,Retirement,Basic
78,46,20,29,Low,92220,3,Graduate,Working Professional,0,No,No,No,No,No,573,0,Moderate,Education Funding,Premium
79,54,30,133,High,93305,2,Professional,Self-Employed,0,Yes,No,No,No,No,1033,0,Moderate,Tax Optimization,Private
80,50,26,19,Low,94720,2,Undergraduate,Working Professional,118,No,No,No,Yes,No,701,0,Moderate,Wealth Growth,Premium
81,60,36,41,Low,95134,4,Undergraduate,Working Professional,174,No,No,No,Yes,Yes,717,0,Moderate,Education Funding,Premium
82,47,22,40,Low,94612,3,Graduate,Working Professional,0,No,No,No,Yes,No,522,0,Moderate,Tax Optimization,Premium
83,41,16,82,Medium,92507,1,Professional,Self-Employed,0,No,No,No,Yes,No,726,0,Moderate,Tax Optimization,Premium
84,33,9,50,Low,94305,1,Graduate,Working Professional,0,No,No,No,No,No,457,0,Conservative,Education Funding,Basic
85,46,22,18,Low,91730,1,Professional,Self-Employed,0,No,No,No,Yes,No,454,0,Moderate,Estate Planning,Basic
86,27,2,109,High,94005,4,Professional,Self-Employed,0,No,No,No,No,No,835,0,Conservative,Wealth Growth,Premium
87,40,16,42,Low,94501,4,Graduate,Working Professional,126,No,No,No,No,No,620,0,Moderate,Wealth Growth,Premium
88,48,22,78,Medium,94305,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,595,0,Moderate,Education Funding,Premium
89,65,41,51,Medium,94117,2,Undergraduate,Retired,0,No,No,No,Yes,No,327,0,Conservative,Education Funding,Basic
90,25,1,113,High,94303,4,Professional,Self-Employed,0,No,No,No,No,Yes,868,0,Conservative,Education Funding,Premium
91,55,30,118,High,90277,4,Graduate,Working Professional,0,Yes,No,No,Yes,No,778,0,Moderate,Estate Planning,Premium
92,35,10,29,Low,94105,4,Professional,Self-Employed,0,No,No,No,Yes,No,455,0,Conservative,Education Funding,Basic
93,43,19,34,Low,94305,3,Graduate,Working Professional,0,No,No,No,No,No,220,0,Moderate,Education Funding,Basic
94,60,34,64,Medium,94550,2,Professional,Self-Employed,236,No,Yes,No,Yes,No,907,493,Moderate,Estate Planning,Premium
95,65,39,121,High,92612,1,Undergraduate,Retired,0,No,No,No,No,No,1053,0,Conservative,Education Funding,Private
96,38,12,48,Low,95617,4,Professional,Self-Employed,0,No,No,No,Yes,No,390,0,Conservative,Tax Optimization,Basic
97,41,15,80,Medium,95014,1,Undergraduate,Working Professional,0,No,No,No,No,No,674,0,Moderate,Tax Optimization,Premium
98,54,28,161,High,92121,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,913,0,Moderate,Estate Planning,Premium
99,49,23,94,Medium,92374,,Undergraduate,Working Professional,0,No,No,No,Yes,No,694,0,Moderate,Tax Optimization,Premium
100,66,41,15,Low,91711,3,Professional,Retired,0,No,No,No,Yes,No,241,0,Conservative,Estate Planning,Basic
101,48,23,74,Medium,94080,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,569,0,Moderate,Wealth Growth,Premium
102,61,36,30,Low,94608,3,Graduate,Working Professional,0,No,No,No,No,No,649,0,Conservative,Education Funding,Premium
103,53,23,44,Low,93555,3,Professional,Self-Employed,198,No,No,No,Yes,Yes,607,0,Moderate,Retirement,Premium
104,43,18,22,Low,95670,2,Graduate,Working Professional,0,No,No,No,Yes,No,472,0,Moderate,Retirement,Basic
105,56,32,38,Low,93311,4,Undergraduate,Working Professional,166,No,No,No,Yes,Yes,418,0,Moderate,Estate Planning,Basic
106,24,0,35,Low,94704,3,Graduate,Working Professional,0,No,Yes,No,Yes,No,233,218,Aggressive,Wealth Growth,Basic
107,43,17,69,Medium,92717,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,396,0,Moderate,Retirement,Basic
108,42,18,43,Low,92037,1,Undergraduate,Working Professional,136,No,No,No,No,No,804,0,Moderate,Wealth Growth,Premium
109,33,7,32,Low,95136,1,Professional,Self-Employed,166,No,No,No,Yes,No,440,0,Conservative,Retirement,Basic
110,43,17,49,Low,94542,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,688,0,Moderate,Retirement,Premium
111,41,14,9,Low,91330,3,Graduate,Working Professional,0,No,No,No,No,No,396,0,Moderate,Retirement,Basic
112,62,38,45,Low,94143,4,Graduate,Working Professional,0,No,No,No,Yes,No,468,0,Conservative,Education Funding,Basic
113,40,15,82,Medium,91775,3,Undergraduate,Working Professional,309,No,No,No,No,No,810,0,Moderate,Wealth Growth,Premium
114,58,34,92,Medium,92703,2,Undergraduate,Working Professional,103,No,No,No,No,No,751,0,Moderate,Tax Optimization,Premium
115,39,14,39,Low,92354,3,Professional,Self-Employed,0,No,No,No,Yes,No,348,0,Conservative,Retirement,Basic
116,65,40,81,Medium,92024,3,Graduate,Retired,0,No,No,No,Yes,No,515,0,Conservative,Wealth Growth,Premium
117,54,29,35,Low,92831,1,Graduate,Working Professional,0,No,No,No,Yes,No,541,0,Moderate,Wealth Growth,Premium
118,58,33,61,Medium,92833,2,Professional,Self-Employed,193,No,No,No,Yes,No,977,0,Moderate,Education Funding,Premium
119,41,16,73,Medium,92647,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,799,0,Moderate,Tax Optimization,Premium
120,32,7,112,High,94304,1,Undergraduate,Working Professional,366,No,No,No,No,No,1056,0,Conservative,Wealth Growth,Private
121,54,29,12,Low,90057,2,Professional,Self-Employed,0,No,No,No,Yes,No,384,0,Moderate,Education Funding,Basic
122,52,26,38,Low,91711,3,Professional,Self-Employed,0,No,No,No,Yes,No,634,0,Moderate,Wealth Growth,Premium
123,58,32,73,Medium,94523,2,Graduate,Working Professional,0,No,No,No,Yes,Yes,847,0,Moderate,Education Funding,Premium
124,37,13,84,Medium,92130,1,Graduate,Working Professional,0,No,Yes,No,No,No,715,91,Conservative,Education Funding,Premium
125,39,15,78,Medium,92121,4,Undergraduate,Working Professional,118,No,No,No,Yes,No,567,0,Conservative,Retirement,Premium
126,60,35,80,Medium,91301,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,742,0,Moderate,Tax Optimization,Premium
127,31,5,115,High,92096,2,Undergraduate,Working Professional,101,No,No,No,Yes,Yes,940,0,Conservative,Estate Planning,Premium
128,34,8,82,Medium,92646,1,Graduate,Working Professional,251,No,No,No,Yes,No,1098,0,Conservative,Wealth Growth,Private
129,38,14,74,Medium,92182,2,Undergraduate,Working Professional,0,No,Yes,No,Yes,No,431,167,Aggressive,Estate Planning,Basic
130,41,16,70,Medium,92131,3,Professional,Self-Employed,0,No,No,No,No,Yes,706,0,Moderate,Estate Planning,Premium
131,28,4,81,Medium,94801,3,Undergraduate,Working Professional,276,No,No,No,Yes,No,763,0,Conservative,Estate Planning,Premium
132,58,34,149,High,93720,4,Graduate,Working Professional,0,Yes,No,Yes,Yes,Yes,1190,268,Moderate,Tax Optimization,Private
133,31,1,51,Medium,90840,2,Professional,Self-Employed,0,No,No,No,No,No,441,0,Conservative,Wealth Growth,Basic
134,30,4,39,Low,90245,3,Graduate,Working Professional,0,No,No,No,Yes,No,596,0,Conservative,Wealth Growth,Premium
135,53,29,98,Medium,95035,3,Graduate,Working Professional,0,No,No,No,No,No,696,0,Moderate,Education Funding,Premium
136,58,33,45,Low,93010,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,463,0,Moderate,Wealth Growth,Basic
137,59,32,49,Low,95035,4,Graduate,Working Professional,0,No,No,No,Yes,No,647,0,Moderate,Retirement,Premium
138,49,25,128,High,95054,2,Undergraduate,Working Professional,0,No,No,No,No,No,1044,0,Moderate,Wealth Growth,Private
139,59,34,42,Low,94928,3,Undergraduate,Working Professional,0,No,Yes,Yes,No,Yes,305,418,Moderate,Education Funding,Basic
140,59,35,18,Low,93305,1,Professional,Self-Employed,0,No,No,No,Yes,No,439,0,Moderate,Wealth Growth,Basic
141,51,25,31,Low,90245,2,Professional,Self-Employed,161,No,No,No,Yes,Yes,623,0,Moderate,Wealth Growth,Premium
142,35,11,58,Medium,95831,3,Undergraduate,Working Professional,149,No,No,No,Yes,Yes,877,0,Conservative,Retirement,Premium
143,33,9,48,Low,91770,1,Professional,Self-Employed,0,No,No,No,No,Yes,641,0,Conservative,Estate Planning,Premium
144,25,1,54,Medium,94117,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,388,0,Conservative,Education Funding,Basic
145,49,23,70,Medium,92093,2,Graduate,Working Professional,0,No,No,No,No,No,816,0,Moderate,Estate Planning,Premium
146,59,35,124,High,90007,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,945,0,Moderate,Tax Optimization,Premium
147,46,19,84,Medium,94102,1,Graduate,Working Professional,0,No,No,No,Yes,Yes,511,0,Moderate,Estate Planning,Premium
148,50,25,83,Medium,94542,4,Professional,Self-Employed,188,No,No,No,Yes,No,1081,0,Moderate,Estate Planning,Private
149,52,28,163,High,91423,2,Undergraduate,Working Professional,116,No,No,No,Yes,No,1132,0,Moderate,Retirement,Private
150,48,22,42,Low,93955,3,Graduate,Working Professional,0,No,No,No,No,No,547,0,Moderate,Estate Planning,Premium
151,46,22,118,High,94107,2,Undergraduate,Working Professional,0,No,No,Yes,Yes,Yes,946,281,Moderate,Education Funding,Premium
152,26,0,132,High,92834,3,Professional,Self-Employed,0,Yes,No,No,No,Yes,966,0,Conservative,Tax Optimization,Premium
153,57,32,24,Low,93117,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,499,0,Moderate,Wealth Growth,Basic
154,60,36,22,Low,94551,2,Undergraduate,Working Professional,0,No,Yes,Yes,Yes,Yes,208,482,Moderate,Education Funding,Basic
155,54,29,58,Medium,92612,4,Professional,Self-Employed,0,No,No,No,No,No,730,0,Moderate,Retirement,Premium
156,24,0,60,Medium,94596,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,783,0,Conservative,Wealth Growth,Premium
157,26,0,15,Low,92131,4,Undergraduate,Working Professional,0,No,No,No,No,Yes,145,0,Conservative,Estate Planning,Basic
158,41,17,83,Medium,94025,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,865,0,Moderate,Retirement,Premium
159,32,6,79,Medium,94720,2,Professional,Self-Employed,0,No,No,No,Yes,Yes,830,0,Conservative,Tax Optimization,Premium
160,61,35,41,Low,94545,4,Graduate,Working Professional,0,No,Yes,No,Yes,No,292,286,Conservative,Retirement,Basic
161,29,0,134,High,95819,4,Professional,Self-Employed,0,Yes,No,No,No,No,1089,0,Conservative,Retirement,Private
162,61,35,80,Medium,95053,,Undergraduate,Working Professional,0,No,No,No,Yes,No,478,0,Conservative,Retirement,Basic
163,38,12,52,Medium,90036,1,Undergraduate,Working Professional,0,No,No,No,No,No,590,0,Conservative,Retirement,Premium
164,28,4,70,Medium,91125,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,679,0,Conservative,Estate Planning,Premium
165,53,27,92,Medium,95120,2,Undergraduate,Working Professional,0,No,Yes,No,No,No,811,163,Moderate,Education Funding,Premium
166,27,1,43,Low,94706,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,379,0,Conservative,Education Funding,Basic
167,25,1,21,Low,95827,3,Graduate,Working Professional,0,No,No,No,No,No,300,0,Conservative,Education Funding,Basic
168,33,9,23,Low,94305,3,Professional,Self-Employed,0,No,No,No,Yes,Yes,610,0,Conservative,Tax Optimization,Premium
169,50,26,13,Low,91320,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,426,0,Moderate,Estate Planning,Basic
170,27,1,112,High,90503,4,Professional,Self-Employed,0,No,No,No,No,Yes,921,0,Conservative,Retirement,Premium
171,27,1,138,High,90250,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,787,0,Conservative,Retirement,Premium
172,52,28,11,Low,95817,3,Undergraduate,Working Professional,0,No,Yes,No,No,No,105,77,Moderate,Tax Optimization,Basic
173,38,13,171,High,92717,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,1049,0,Conservative,Retirement,Private
174,58,34,42,Low,90095,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,463,0,Moderate,Tax Optimization,Basic
175,42,17,168,High,95503,2,Graduate,Working Professional,0,Yes,No,No,Yes,No,1148,0,Moderate,Retirement,Private
176,45,20,85,Medium,91711,4,Graduate,Working Professional,0,No,Yes,No,Yes,No,707,302,Moderate,Wealth Growth,Premium
177,52,25,44,Low,93111,3,Graduate,Working Professional,135,No,No,No,Yes,No,470,0,Moderate,Tax Optimization,Basic
178,29,3,65,Medium,94132,4,Graduate,Working Professional,244,No,No,No,No,No,839,0,Conservative,Retirement,Premium
179,53,29,24,Low,95818,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,394,0,Moderate,Education Funding,Basic
180,62,37,11,Low,91942,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,471,0,Conservative,Retirement,Basic
181,51,27,38,Low,90401,2,Professional,Self-Employed,164,No,No,No,Yes,No,529,0,Moderate,Tax Optimization,Premium
182,36,12,10,Low,93524,4,Graduate,Working Professional,81,No,No,No,No,No,346,0,Conservative,Wealth Growth,Basic
183,24,0,135,High,95133,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,941,0,Conservative,Education Funding,Premium
184,29,3,148,High,92173,3,Undergraduate,Working Professional,0,Yes,No,No,Yes,No,1202,0,Conservative,Education Funding,Private
185,52,26,63,Medium,92717,2,Graduate,Working Professional,0,No,Yes,No,Yes,No,558,190,Moderate,Tax Optimization,Premium
186,39,14,115,High,91320,1,Professional,Self-Employed,0,No,No,No,Yes,No,1024,0,Conservative,Tax Optimization,Private
187,48,23,45,Low,95616,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,325,0,Moderate,Education Funding,Basic
188,46,21,159,High,94305,3,Professional,Self-Employed,315,Yes,No,No,Yes,No,1562,0,Moderate,Education Funding,Private
189,64,40,169,High,91320,2,Undergraduate,Working Professional,122,No,No,No,Yes,No,1139,0,Conservative,Tax Optimization,Private
190,55,29,112,High,94043,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,620,0,Moderate,Retirement,Premium
191,60,36,93,Medium,92521,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,896,0,Moderate,Tax Optimization,Premium
192,51,25,29,Low,90404,1,Professional,Self-Employed,140,No,No,No,No,No,574,0,Moderate,Education Funding,Premium
193,50,23,85,Medium,92122,1,Graduate,Working Professional,0,No,No,No,Yes,No,748,0,Moderate,Estate Planning,Premium
194,48,24,21,Low,93118,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,553,0,Moderate,Tax Optimization,Premium
195,53,29,144,High,92697,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,1160,0,Moderate,Wealth Growth,Private
196,34,10,13,Low,94577,4,Undergraduate,Working Professional,95,No,Yes,No,Yes,No,633,412,Aggressive,Education Funding,Premium
197,48,24,165,High,93407,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,993,0,Moderate,Estate Planning,Premium
198,55,31,9,Low,91345,4,Undergraduate,Working Professional,89,No,No,No,Yes,No,442,0,Moderate,Tax Optimization,Basic
199,27,3,59,Medium,94123,4,Undergraduate,Working Professional,90,No,Yes,No,Yes,No,863,234,Aggressive,Education Funding,Premium
200,36,11,158,High,92152,1,Professional,Self-Employed,0,Yes,No,Yes,Yes,Yes,1116,301,Aggressive,Retirement,Private
201,32,6,29,Low,91355,1,Professional,Self-Employed,0,No,No,No,Yes,Yes,347,0,Conservative,Wealth Growth,Basic
202,35,9,20,Low,94609,2,Professional,Self-Employed,0,No,No,No,Yes,Yes,393,0,Conservative,Education Funding,Basic
203,30,3,68,Medium,94306,4,Graduate,Working Professional,0,No,No,No,Yes,No,758,0,Conservative,Wealth Growth,Premium
204,58,34,65,Medium,95747,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,714,0,Moderate,Tax Optimization,Premium
205,56,31,61,Medium,96150,2,Graduate,Working Professional,105,No,No,No,No,No,662,0,Moderate,Estate Planning,Premium
206,38,12,91,Medium,95616,4,Graduate,Working Professional,100,No,No,No,No,Yes,852,0,Conservative,Retirement,Premium
207,49,25,31,Low,91355,1,Undergraduate,Working Professional,0,No,Yes,No,Yes,No,273,186,Moderate,Tax Optimization,Basic
208,34,10,71,Medium,94115,4,Graduate,Working Professional,0,No,No,No,No,No,447,0,Conservative,Wealth Growth,Basic
209,40,16,73,Medium,94110,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,856,0,Moderate,Tax Optimization,Premium
210,64,39,172,High,94707,4,Undergraduate,Working Professional,282,Yes,No,Yes,Yes,Yes,1561,112,Conservative,Retirement,Private
211,51,26,20,Low,92131,2,Undergraduate,Working Professional,0,No,No,No,No,No,317,0,Moderate,Retirement,Basic
212,44,18,55,Medium,94720,1,Undergraduate,Working Professional,0,No,No,No,No,No,444,0,Moderate,Wealth Growth,Basic
213,46,22,69,Medium,91604,2,Undergraduate,Working Professional,209,No,No,No,No,No,820,0,Moderate,Education Funding,Premium
214,57,33,155,High,91326,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,1203,0,Moderate,Tax Optimization,Private
215,54,28,94,Medium,90291,1,Graduate,Working Professional,0,No,No,No,No,No,654,0,Moderate,Estate Planning,Premium
216,38,14,92,Medium,95818,2,Undergraduate,Working Professional,249,No,No,No,Yes,Yes,912,0,Conservative,Estate Planning,Premium
217,27,3,125,High,95521,2,Undergraduate,Working Professional,0,No,No,No,No,No,962,0,Conservative,Retirement,Premium
218,39,14,74,Medium,94305,3,Undergraduate,Working Professional,0,No,No,No,No,No,837,0,Conservative,Wealth Growth,Premium
219,44,20,72,Medium,92807,3,Professional,Self-Employed,0,No,No,No,Yes,No,843,0,Moderate,Estate Planning,Premium
220,56,30,61,Medium,94707,1,Professional,Self-Employed,0,No,No,No,Yes,Yes,737,0,Moderate,Tax Optimization,Premium
221,32,6,25,Low,92130,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,298,0,Conservative,Estate Planning,Basic
