ID,Investment Products,Allocation (%)
1646,Commodities Futures,100
1826,Commodities Futures,100
1879,Commodities Futures,34.97
1879,Municipal Bonds,65.03
1883,Municipal Bonds,100
1890,S&P 500 Index Fund,58.1
1890,Commodities Futures,41.9
1988,Commodities Futures,100
2109,Commodities Futures,39.24
2109,Municipal Bonds,60.76
2257,Municipal Bonds,52.58
2257,Municipal Bonds,47.42
2731,Municipal Bonds,48.81
2731,Corporate Bonds,51.19
2903,Commodities Futures,100
2905,Municipal Bonds,9.8
2905,Municipal Bonds,90.2
3728,Municipal Bonds,21.47
3728,Municipal Bonds,78.53
4006,Municipal Bonds,23.35
4006,Municipal Bonds,76.65
4456,Commodities Futures,55.27
4456,Municipal Bonds,44.73
4892,Municipal Bonds,75.07
4892,Commodities Futures,24.93
20,Dividend Stock Fund,100
57,Commodities Futures,100
462,Municipal Bonds,100
487,Commodities Futures,100
925,Commodities Futures,74.57
925,Commodities Futures,25.43
1485,Commodities Futures,100
1546,Municipal Bonds,46.81
1546,Municipal Bonds,53.19
1564,Commodities Futures,100
2240,Commodities Futures,100
2376,Commodities Futures,100
2883,Commodities Futures,36.42
2883,Commodities Futures,63.58
2987,Municipal Bonds,100
3643,Commodities Futures,74
3643,Municipal Bonds,26
4403,Municipal Bonds,100
4557,Corporate Bonds,23.2
4557,Municipal Bonds,76.8
403,Corporate Bonds,100
454,Commodities Futures,100
666,Municipal Bonds,48.01
666,Commodities Futures,51.99
690,Municipal Bonds,100
773,Commodities Futures,100
783,Commodities Futures,100
977,Municipal Bonds,100
1080,Commodities Futures,77.62
1080,Municipal Bonds,22.38
1785,Commodities Futures,27.33
1785,Commodities Futures,72.67
1833,Municipal Bonds,50.48
1833,Commodities Futures,49.52
2971,Commodities Futures,100
3159,Commodities Futures,64.78
3159,Commodities Futures,35.22
3531,Commodities Futures,55.09
3531,Commodities Futures,44.91
3978,Commodities Futures,100
4221,Municipal Bonds,100
68,Commodities Futures,31.28
68,Commodities Futures,68.72
165,Municipal Bonds,49.75
165,Municipal Bonds,50.25
248,Commodities Futures,100
394,Commodities Futures,100
490,Commodities Futures,63.1
490,Commodities Futures,36.9
535,Commodities Futures,34.32
535,Commodities Futures,65.68
567,Commodities Futures,40.08
567,Commodities Futures,59.92
1051,Commodities Futures,100
2141,Commodities Futures,80.56
2141,Municipal Bonds,19.44
2224,Commodities Futures,20.68
2224,Commodities Futures,79.32
2359,Commodities Futures,81.22
2359,Municipal Bonds,18.78
2399,Commodities Futures,100
2500,Commodities Futures,100
2784,Commodities Futures,57.74
2784,Municipal Bonds,42.26
2813,Corporate Bonds,100
3684,Municipal Bonds,100
4095,Municipal Bonds,86.39
4095,Commodities Futures,13.61
4543,Commodities Futures,100
172,Municipal Bonds,58.45
172,Municipal Bonds,41.55
185,Municipal Bonds,47.15
185,Commodities Futures,52.85
327,Municipal Bonds,100
442,Municipal Bonds,100
667,Municipal Bonds,37.02
667,Municipal Bonds,62.98
758,Commodities Futures,100
855,Commodities Futures,75.74
855,Commodities Futures,24.26
1113,Commodities Futures,100
1500,Commodities Futures,23.99
1500,Municipal Bonds,76.01
1588,Commodities Futures,100
1945,Commodities Futures,100
2603,Commodities Futures,67.57
2603,Commodities Futures,32.43
2614,Commodities Futures,100
2803,Commodities Futures,100
2972,Municipal Bonds,86.61
2972,Municipal Bonds,13.39
3795,Municipal Bonds,100
4324,Commodities Futures,100
4722,Commodities Futures,100
4943,Municipal Bonds,100
346,Municipal Bonds,100
920,Municipal Bonds,47.15
920,Commodities Futures,52.85
933,Corporate Bonds,35.39
933,Municipal Bonds,64.61
954,Municipal Bonds,62.99
954,Commodities Futures,37.01
1086,Commodities Futures,18.05
1086,Municipal Bonds,81.95
1138,Municipal Bonds,36.57
1138,Municipal Bonds,63.43
1938,Municipal Bonds,79.97
1938,Commodities Futures,20.03
2328,Commodities Futures,53.09
2328,Municipal Bonds,46.91
2512,Commodities Futures,49.5
2512,Municipal Bonds,50.5
3640,Commodities Futures,53.63
3640,Municipal Bonds,46.37
3689,Municipal Bonds,100
3867,Municipal Bonds,100
3901,Commodities Futures,32.03
3901,Dividend Stock Fund,67.97
4198,Municipal Bonds,62.74
4198,Commodities Futures,37.26
4429,Municipal Bonds,100
4913,Municipal Bonds,37.37
4913,Commodities Futures,62.63
4960,Municipal Bonds,74.17
4960,Commodities Futures,25.83
1015,Commodities Futures,57.31
1015,Municipal Bonds,42.69
1217,Commodities Futures,82.64
1217,Municipal Bonds,17.36
1268,Commodities Futures,53.55
1268,Commodities Futures,46.45
1300,Commodities Futures,52.91
1300,Municipal Bonds,47.09
2547,Municipal Bonds,29.48
2547,Municipal Bonds,70.52
2656,Municipal Bonds,100
3508,Municipal Bonds,100
3613,Commodities Futures,26.64
3613,Municipal Bonds,73.36
4087,Commodities Futures,100
61,Municipal Bonds,100
207,Municipal Bonds,100
263,Municipal Bonds,100
266,Commodities Futures,100
276,S&P 500 Index Fund,63.48
276,Commodities Futures,36.52
571,Municipal Bonds,100
858,Municipal Bonds,100
1035,Commodities Futures,100
1152,Commodities Futures,100
1173,Commodities Futures,100
1345,Municipal Bonds,100
1894,Municipal Bonds,100
2015,Municipal Bonds,100
2725,Commodities Futures,100
2991,Commodities Futures,38.28
2991,Commodities Futures,61.72
3990,Commodities Futures,100
4302,Municipal Bonds,64.78
4302,Municipal Bonds,35.22
13,Commodities Futures,68.63
13,Commodities Futures,31.37
464,Commodities Futures,43.8
464,Municipal Bonds,56.2
1617,Municipal Bonds,87.53
1617,Commodities Futures,12.47
1673,Municipal Bonds,50.77
1673,Municipal Bonds,49.23
1706,Commodities Futures,59.17
1706,Commodities Futures,40.83
1792,Commodities Futures,100
1823,Municipal Bonds,100
2218,Commodities Futures,100
2874,Municipal Bonds,33.73
2874,Commodities Futures,66.27
3701,Municipal Bonds,72.84
3701,Municipal Bonds,27.16
3897,Municipal Bonds,52.38
3897,Commodities Futures,47.62
4547,Commodities Futures,100
4630,Commodities Futures,100
4895,Commodities Futures,100
62,Municipal Bonds,100
228,Commodities Futures,100
229,Municipal Bonds,57.15
229,Commodities Futures,42.85
651,Commodities Futures,25.99
651,Municipal Bonds,74.01
716,Municipal Bonds,94.28
716,Commodities Futures,5.72
1137,Commodities Futures,100
1615,Commodities Futures,100
2006,Commodities Futures,100
2026,Commodities Futures,44.01
2026,Municipal Bonds,55.99
2280,Commodities Futures,70.71
2280,Municipal Bonds,29.29
4139,Commodities Futures,66.73
4139,Municipal Bonds,33.27
4570,Municipal Bonds,47.37
4570,Commodities Futures,52.63
4657,Municipal Bonds,100
151,Commodities Futures,100
423,Municipal Bonds,100
786,Municipal Bonds,100
1406,Municipal Bonds,100
1793,Commodities Futures,63
1793,Commodities Futures,37
2232,Municipal Bonds,28.06
2232,Municipal Bonds,71.94
2485,Municipal Bonds,100
2552,Municipal Bonds,100
2591,Commodities Futures,68.85
2591,Commodities Futures,31.15
2867,Commodities Futures,70.61
2867,Commodities Futures,29.39
2989,Commodities Futures,100
3078,Municipal Bonds,100
3505,Commodities Futures,21.45
3505,Commodities Futures,78.55
3882,Municipal Bonds,100
4215,Commodities Futures,17.7
4215,Commodities Futures,82.3
4568,Commodities Futures,67.47
4568,Municipal Bonds,32.53
4574,Commodities Futures,100
4754,Commodities Futures,12.63
4754,Commodities Futures,87.37
4824,Commodities Futures,100
4963,Municipal Bonds,100
2,Municipal Bonds,100
176,Municipal Bonds,100
630,Commodities Futures,100
723,Commodities Futures,57.66
723,Dividend Stock Fund,42.34
745,Commodities Futures,100
787,Commodities Futures,100
1189,Commodities Futures,48.82
1189,Commodities Futures,51.18
1597,Commodities Futures,100
1741,Municipal Bonds,100
1817,Commodities Futures,80.04
1817,Municipal Bonds,19.96
2136,Commodities Futures,44.42
2136,Municipal Bonds,55.58
2334,Municipal Bonds,100
2488,Municipal Bonds,28.1
2488,Commodities Futures,71.9
2833,Municipal Bonds,43.12
2833,Municipal Bonds,56.88
3055,Municipal Bonds,100
3225,Municipal Bonds,100
3369,Municipal Bonds,100
3600,Municipal Bonds,100
4042,S&P 500 Index Fund,100
4347,Municipal Bonds,28.93
4347,Municipal Bonds,71.07
4498,Municipal Bonds,66.23
4498,Commodities Futures,33.77
24,Commodities Futures,58.72
24,Commodities Futures,41.28
289,Commodities Futures,100
548,Commodities Futures,100
593,Commodities Futures,68.72
593,Commodities Futures,31.28
784,Commodities Futures,100
1574,Commodities Futures,100
1738,Municipal Bonds,100
1790,Municipal Bonds,62.86
1790,Commodities Futures,37.14
1791,Commodities Futures,34.05
1791,Commodities Futures,65.95
2484,Commodities Futures,100
2677,Municipal Bonds,42.74
2677,Commodities Futures,57.26
3016,Commodities Futures,100
3294,Municipal Bonds,100
4152,Commodities Futures,100
4274,Commodities Futures,80.17
4274,Municipal Bonds,19.83
641,Commodities Futures,53.35
641,Municipal Bonds,46.65
896,Commodities Futures,100
972,Municipal Bonds,19.84
972,Municipal Bonds,80.16
1036,Municipal Bonds,100
1583,Commodities Futures,100
1902,Commodities Futures,100
2020,Commodities Futures,27.35
2020,Municipal Bonds,72.65
2047,Municipal Bonds,100
2670,Commodities Futures,50.36
2670,Commodities Futures,49.64
2871,Municipal Bonds,41.49
2871,Municipal Bonds,58.51
3093,Commodities Futures,100
3097,Commodities Futures,100
3180,Commodities Futures,33.85
3180,Municipal Bonds,66.15
3211,Municipal Bonds,100
3440,Commodities Futures,100
3666,Commodities Futures,63.23
3666,Municipal Bonds,36.77
3937,Municipal Bonds,100
4561,Municipal Bonds,100
4662,Municipal Bonds,100
4883,Commodities Futures,42.65
4883,Municipal Bonds,57.35
4893,Commodities Futures,53.56
4893,Commodities Futures,46.44
4928,Commodities Futures,40.16
4928,Municipal Bonds,59.84
39,Commodities Futures,100
492,Municipal Bonds,100
772,Commodities Futures,100
1555,Municipal Bonds,58.88
1555,Municipal Bonds,41.12
1629,Municipal Bonds,27.85
1629,Commodities Futures,72.15
1913,Municipal Bonds,60.27
1913,Municipal Bonds,39.73
2018,Municipal Bonds,52.52
2018,Municipal Bonds,47.48
2610,Commodities Futures,100
2624,Commodities Futures,100
2810,Commodities Futures,100
2992,Corporate Bonds,100
2997,Commodities Futures,100
3058,Commodities Futures,100
3210,Commodities Futures,100
3328,Commodities Futures,50.52
3328,S&P 500 Index Fund,49.48
3386,Municipal Bonds,100
3646,Commodities Futures,100
3675,Commodities Futures,100
3769,Commodities Futures,100
3850,Municipal Bonds,100
3856,Commodities Futures,93.29
3856,Commodities Futures,6.71
4091,Commodities Futures,100
4176,Municipal Bonds,60.87
4176,Commodities Futures,39.13
4281,Commodities Futures,100
4821,Commodities Futures,100
4894,Commodities Futures,100
300,Commodities Futures,100
589,Commodities Futures,100
852,Municipal Bonds,88.08
852,Municipal Bonds,11.92
1165,Municipal Bonds,100
2241,Municipal Bonds,100
2243,Commodities Futures,100
2515,Commodities Futures,100
2841,Municipal Bonds,100
3030,Municipal Bonds,60.77
3030,Municipal Bonds,39.23
3161,Commodities Futures,76.02
3161,Municipal Bonds,23.98
3259,Municipal Bonds,100
3323,Municipal Bonds,60.18
3323,Commodities Futures,39.82
3570,Commodities Futures,85.37
3570,Commodities Futures,14.63
3924,Municipal Bonds,38.87
3924,Commodities Futures,61.13
4555,Commodities Futures,25.98
4555,Municipal Bonds,74.02
4721,Municipal Bonds,39.41
4721,Municipal Bonds,60.59
4888,Commodities Futures,47.82
4888,Municipal Bonds,52.18
349,Commodities Futures,50.16
349,Municipal Bonds,49.84
869,Commodities Futures,100
1525,Municipal Bonds,100
1599,Municipal Bonds,100
1805,Commodities Futures,43.09
1805,Municipal Bonds,56.91
2468,Commodities Futures,100
2509,Commodities Futures,100
2835,Commodities Futures,100
3084,Municipal Bonds,35.42
3084,Commodities Futures,64.58
3222,Commodities Futures,40.5
3222,Commodities Futures,59.5
4191,Commodities Futures,58.46
4191,Municipal Bonds,41.54
4470,Municipal Bonds,100
4506,Commodities Futures,59.97
4506,Commodities Futures,40.03
4675,Municipal Bonds,36.78
4675,Municipal Bonds,63.22
351,Growth Stock Fund,100
825,Technology Sector ETF,100
1191,Cryptocurrency ETF,100
1443,Growth Stock Fund,100
1919,Cryptocurrency ETF,43.94
1919,Technology Sector ETF,56.06
2089,Hedge Fund,73.34
2089,Private Equity Fund,26.66
2171,Growth Stock Fund,100
2661,Private Equity Fund,26.53
2661,Growth Stock Fund,73.47
3066,Cryptocurrency ETF,100
3130,Private Equity Fund,58.93
3130,Technology Sector ETF,41.07
3371,Private Equity Fund,14.18
3371,Private Equity Fund,85.82
3541,Technology Sector ETF,100
4118,Private Equity Fund,100
4241,Private Equity Fund,10.99
4241,Commodities Futures,89.01
4358,Private Equity Fund,100
4375,Commodities Futures,69.29
4375,Private Equity Fund,30.71
4672,Private Equity Fund,56.74
4672,Private Equity Fund,43.26
4677,Technology Sector ETF,100
4957,Private Equity Fund,100
30,Real Estate Investment Trust (REIT),100
129,Private Equity Fund,100
755,Growth Stock Fund,75.44
755,Technology Sector ETF,24.56
938,Private Equity Fund,49.47
938,Growth Stock Fund,50.53
1006,Growth Stock Fund,100
1238,Hedge Fund,94.73
1238,Commodities Futures,5.27
1530,Private Equity Fund,87.6
1530,Real Estate Investment Trust (REIT),12.4
1579,Private Equity Fund,6.25
1579,Private Equity Fund,93.75
3062,Commodities Futures,87.34
3062,Private Equity Fund,12.66
3079,Private Equity Fund,61.37
3079,Private Equity Fund,38.63
3699,Real Estate Investment Trust (REIT),10.44
3699,Private Equity Fund,89.56
3980,Cryptocurrency ETF,100
3987,Growth Stock Fund,100
4344,Private Equity Fund,27.11
4344,Hedge Fund,72.89
4853,Savings Account,38.2
4853,Municipal Bonds,61.8
4884,Private Equity Fund,47.47
4884,Private Equity Fund,52.53
48,Growth Stock Fund,100
124,Municipal Bonds,30.59
124,Municipal Bonds,69.41
1595,Certificate of Deposit (CD),100
1746,Growth Stock Fund,100
1916,Private Equity Fund,46.11
1916,Private Equity Fund,53.89
1979,Private Equity Fund,46.26
1979,Private Equity Fund,53.74
2179,Commodities Futures,25.88
2179,Private Equity Fund,74.12
2434,Commodities Futures,56.38
2434,Private Equity Fund,43.62
2842,Private Equity Fund,33.02
2842,Commodities Futures,66.98
3555,Growth Stock Fund,100
3602,Commodities Futures,100
3710,Hedge Fund,78.06
3710,Private Equity Fund,21.94
3788,Technology Sector ETF,100
3839,Private Equity Fund,16.27
3839,Commodities Futures,83.73
3949,Private Equity Fund,100
200,Private Equity Fund,100
313,Commodities Futures,100
406,Private Equity Fund,100
438,Private Equity Fund,16.17
438,Commodities Futures,83.83
835,Private Equity Fund,100
982,Cryptocurrency ETF,78.62
982,Private Equity Fund,21.38
1180,Cryptocurrency ETF,41.82
1180,Private Equity Fund,58.18
1201,Private Equity Fund,100
1866,Private Equity Fund,31.11
1866,Private Equity Fund,68.89
2085,Private Equity Fund,100
2139,Private Equity Fund,100
2231,Private Equity Fund,52.6
2231,Private Equity Fund,47.4
2360,Cryptocurrency ETF,100
2362,Private Equity Fund,100
3251,Growth Stock Fund,25.19
3251,Commodities Futures,74.81
3385,Private Equity Fund,100
3490,Municipal Bonds,100
4045,Commodities Futures,100
4181,Private Equity Fund,67.25
4181,Private Equity Fund,32.75
4527,Private Equity Fund,66.68
4527,Private Equity Fund,33.32
4918,Private Equity Fund,100
1038,Private Equity Fund,20.97
1038,Private Equity Fund,79.03
1106,Real Estate Investment Trust (REIT),62.7
1106,Commodities Futures,37.3
1482,Private Equity Fund,100
1810,Private Equity Fund,67.3
1810,Private Equity Fund,32.7
1849,Private Equity Fund,100
2615,Private Equity Fund,100
2708,Municipal Bonds,100
2910,Private Equity Fund,42.86
2910,Real Estate Investment Trust (REIT),57.14
2920,Private Equity Fund,100
2978,Private Equity Fund,100
3238,Private Equity Fund,68.54
3238,Commodities Futures,31.46
3339,Private Equity Fund,21.88
3339,Private Equity Fund,78.12
3342,Private Equity Fund,100
3346,Municipal Bonds,100
3557,Private Equity Fund,100
3657,Private Equity Fund,100
4491,Private Equity Fund,64.16
4491,Commodities Futures,35.84
4586,Private Equity Fund,100
4703,Municipal Bonds,100
4768,Municipal Bonds,34.03
4768,Municipal Bonds,65.97
4782,Private Equity Fund,36.68
4782,Commodities Futures,63.32
196,Private Equity Fund,52.49
196,Private Equity Fund,47.51
301,Private Equity Fund,100
556,Municipal Bonds,100
1069,Private Equity Fund,100
1133,Commodities Futures,100
1529,Private Equity Fund,100
1541,Private Equity Fund,19.43
1541,Private Equity Fund,80.57
1936,Private Equity Fund,100
2786,Private Equity Fund,100
3143,Private Equity Fund,100
3434,Real Estate Investment Trust (REIT),90.07
3434,Private Equity Fund,9.93
3831,Private Equity Fund,31.66
3831,Commodities Futures,68.34
3921,Private Equity Fund,100
4036,Private Equity Fund,100
4341,Cryptocurrency ETF,47.65
4341,Private Equity Fund,52.35
4467,Municipal Bonds,80.73
4467,Municipal Bonds,19.27
4727,Private Equity Fund,42.35
4727,Private Equity Fund,57.65
770,Private Equity Fund,58.42
770,Private Equity Fund,41.58
850,Private Equity Fund,100
1052,Private Equity Fund,100
1660,Private Equity Fund,49.29
1660,Private Equity Fund,50.71
1740,Private Equity Fund,22.28
1740,Private Equity Fund,77.72
2145,Private Equity Fund,61.18
2145,Commodities Futures,38.82
2471,Commodities Futures,100
2629,Private Equity Fund,53.4
2629,Private Equity Fund,46.6
2824,Private Equity Fund,36.89
2824,Private Equity Fund,63.11
2977,Private Equity Fund,100
3436,Private Equity Fund,71.15
3436,Private Equity Fund,28.85
3836,Technology Sector ETF,100
3853,Private Equity Fund,65.25
3853,Commodities Futures,34.75
4415,Private Equity Fund,100
4478,Commodities Futures,100
4938,Commodities Futures,100
51,Private Equity Fund,100
309,Municipal Bonds,68.14
309,Municipal Bonds,31.86
532,Private Equity Fund,25.62
532,Private Equity Fund,74.38
892,Private Equity Fund,10.78
892,Private Equity Fund,89.22
923,Private Equity Fund,52.78
923,Private Equity Fund,47.22
1028,Private Equity Fund,52.09
1028,Private Equity Fund,47.91
1323,Private Equity Fund,76.03
1323,Commodities Futures,23.97
1327,Private Equity Fund,100
1404,Commodities Futures,59.46
1404,Private Equity Fund,40.54
1423,Private Equity Fund,85.47
1423,Private Equity Fund,14.53
1788,Private Equity Fund,6.32
1788,Private Equity Fund,93.68
1822,Commodities Futures,100
1897,Municipal Bonds,100
2306,Commodities Futures,25.97
2306,Private Equity Fund,74.03
2375,Commodities Futures,22.45
2375,Private Equity Fund,77.55
2540,Private Equity Fund,32.97
2540,Private Equity Fund,67.03
2749,Private Equity Fund,100
3133,Private Equity Fund,60.14
3133,Private Equity Fund,39.86
3358,Private Equity Fund,54.42
3358,Private Equity Fund,45.58
3563,Private Equity Fund,100
3722,Private Equity Fund,65.13
3722,Private Equity Fund,34.87
3743,Private Equity Fund,33.09
3743,Private Equity Fund,66.91
4228,Commodities Futures,100
4343,Cryptocurrency ETF,100
4632,Commodities Futures,100
4719,Technology Sector ETF,77.66
4719,Hedge Fund,22.34
4720,Private Equity Fund,20.06
4720,Commodities Futures,79.94
76,Municipal Bonds,25.87
76,Municipal Bonds,74.13
1056,Private Equity Fund,50.28
1056,Commodities Futures,49.72
1147,Private Equity Fund,100
1886,Municipal Bonds,100
1888,Private Equity Fund,72.59
1888,Private Equity Fund,27.41
2092,Private Equity Fund,100
2318,Cryptocurrency ETF,23.82
2318,Commodities Futures,76.18
2357,Private Equity Fund,100
2562,Private Equity Fund,58.33
2562,Commodities Futures,41.67
2676,Commodities Futures,100
2973,Commodities Futures,100
3068,Real Estate Investment Trust (REIT),100
3520,Private Equity Fund,100
4030,Commodities Futures,100
4369,Private Equity Fund,100
275,Private Equity Fund,65.23
275,Private Equity Fund,34.77
559,Commodities Futures,100
1017,Private Equity Fund,10.59
1017,Private Equity Fund,89.41
1067,Commodities Futures,73.31
1067,Private Equity Fund,26.69
1130,Private Equity Fund,100
1139,Private Equity Fund,100
1421,Commodities Futures,100
1502,Commodities Futures,69.15
1502,Commodities Futures,30.85
2367,Municipal Bonds,44.58
2367,Municipal Bonds,55.42
2379,Private Equity Fund,22.1
2379,Real Estate Investment Trust (REIT),77.9
2685,Commodities Futures,100
2839,Private Equity Fund,4.51
2839,Private Equity Fund,95.49
3203,Private Equity Fund,24.73
3203,Commodities Futures,75.27
3783,Private Equity Fund,75.74
3783,Commodities Futures,24.26
4317,Private Equity Fund,93.29
4317,Private Equity Fund,6.71
4636,Private Equity Fund,67.61
4636,Private Equity Fund,32.39
4757,Private Equity Fund,27.11
4757,Commodities Futures,72.89
4786,Private Equity Fund,64.26
4786,Private Equity Fund,35.74
1304,Private Equity Fund,53.54
1304,Commodities Futures,46.46
3115,Private Equity Fund,100
3662,Private Equity Fund,9.51
3662,Private Equity Fund,90.49
4457,Private Equity Fund,100
